"Comment","Designator","Footprint","LCSC Part","Part.Number","Manufacturer","Assembly"
"Resistor, 4.7 KOhm, 1%, 0.125 W, -55 to 155 degC, 0805","R9,R10,R11,R12,R25,R26,R27,R28,R33,R34,R41,R42","db_resistors:R_0805","C17673","","",""
"Header 3.81mm, 9W, 180° 300V","CN1","Library:PhoenixContact_MCV_1,5_9-G-3.81_1x09_P3.81mm_Vertical","C49737","WJ15EDGVC-3.81-09P-14-00A","KANGNEX","PTH"
"Header 3.81mm, 5W, 180° 300V","CN2","Library:PhoenixContact_MCV_1,5_5-G-3.81_1x05_P3.81mm_Vertical","C8391","WJ15EDGVC-3.81-05P-14-00A","KANGNEX","PTH"
"Header 3.81mm, 2W, 180° 300V","CN3","Library:PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical","C8396","WJ15EDGVC-3.81-02P-14-00A","KANGNEX","PTH"
"Plug 3.81mm, 9W, 180°, 300V","CNP1","","C31287","WJ15EDGK-3.81-09P-14-00A","KANGNEX","PTH"
"Plug 3.81mm, 5W, 180°, 300V","CNP2","","C3804","WJ15EDGK-3.81-05P-14-00A","KANGNEX","PTH"
"Plug 3.81mm, 2W, 180°, 300V","CNP3","","C8466","WJ15EDGK-3.81-02P-14-00A","KANGNEX","PTH"
"LCD 16x2 Alphanumeric , 8 bit parallel bus, 5V VDD","DS1","Library:WC1602A","","MGD1602A-NSW-BBS-01","","PTH"
"Capacitor MLCC SMT 50V 100nF X7R 0805 10%","C1,C2,C3,C4,C5,C6,C7,C8,C16,C18,C19,C20,C21,C23,C24,C26,C28,C34,C35,C38,C41","Library:C_0805","C49678","CC0805KRX7R9BB104","YAGEO","SMT"
"Capacitor MLCC SMT 50V 4.7uF X7R 1206 10%","C9,C10","Library:C_1206","C29823","1206B475K500NT","FH","SMT"
"Capacitors MLCC SMT 50V 10nF X7R 0805 10%","C11","Library:C_0805","C1710","CL21B103KBANNNC","Samsung Electro-Mechanics","SMT"
