Ref,Val,Package,PosX,PosY,Rot,Side
"DS1","WC1602A","WC1602A",82.000000,75.357500,180.000000,bottom
"C1","100nF","C_0805",17.000000,43.500000,90.000000,top
"C2","100nF","C_0805",17.000000,38.000000,90.000000,top
"C3","100nF","C_0805",17.000000,32.500000,90.000000,top
"C4","100nF","C_0805",17.000000,27.000000,90.000000,top
"C5","100nF","C_0805",17.000000,21.500000,90.000000,top
"C6","100nF","C_0805",17.000000,16.000000,90.000000,top
"C7","100nF","C_0805",17.000000,10.500000,90.000000,top
"C8","100nF","C_0805",17.000000,5.000000,90.000000,top
"C9","4.7uF","C_1206",12.500000,68.500000,90.000000,top
"C10","4.7uF","C_1206",15.500000,68.500000,90.000000,top
"C11","10nF","C_0805",26.000000,62.500000,-90.000000,top
"C13","100uF","CP_Elec_8x10",5.000000,64.500000,90.000000,top
"C14","100uF","CP_Elec_8x10",34.500000,74.000000,90.000000,top
"C16","100nF","C_0805",12.500000,62.500000,180.000000,top
"C17","1uF","C_0805",24.000000,50.000000,-90.000000,top
"C18","100nF","C_0805",51.500000,63.500000,-90.000000,top
"C19","100nF","C_0805",58.750000,41.000000,0.000000,top
"C20","100nF","C_0805",57.000000,22.500000,180.000000,top
"C21","100nF","C_0805",50.500000,34.500000,90.000000,top
"C22","1uF","C_0805",41.500000,69.500000,0.000000,top
"C23","100nF","C_0805",41.500000,67.000000,0.000000,top
"C24","100nF","C_0805",52.000000,40.500000,90.000000,top
"C26","100nF","C_0805",65.500000,29.500000,-90.000000,top
"C28","100nF","C_0805",56.500000,38.500000,180.000000,top
"C31","1uF","C_0805",32.000000,50.000000,-90.000000,top
"C33","47uF","CP_3528-CaseB",47.000000,63.500000,0.000000,top
"C34","100nF","C_0805",47.500000,69.500000,180.000000,top
"C35","100nF","C_0805",38.000000,59.000000,-90.000000,top
"C38","100nF","C_0805",37.000000,49.500000,-90.000000,top
"C40","47uF","CP_3528-CaseB",47.000000,52.500000,0.000000,top
"C41","100nF","C_0805",51.500000,53.500000,-90.000000,top
"CN1","WJ15EDGVC-3.81-09P-14-00A","PhoenixContact_MCV_1,5_9-G-3.81_1x09_P3.81mm_Vertical",5.500000,42.870000,-90.000000,top
"CN2","WJ15EDGVC-3.81-05P-14-00A","PhoenixContact_MCV_1,5_5-G-3.81_1x05_P3.81mm_Vertical",94.500000,13.880000,90.000000,top
"CN3","WJ15EDGVC-3.81-02P-14-00A","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",5.500000,55.000000,-90.000000,top
"D1","LL4148","D_MiniMELF",87.000000,28.500000,90.000000,top
"D2","LL4148","D_MiniMELF",87.000000,21.000000,90.000000,top
"D3","LL4148","D_MiniMELF",87.000000,13.500000,90.000000,top
"D4","LL4148","D_MiniMELF",87.000000,6.000000,90.000000,top
"D5","SMAJ26A-E3/61","D_SMA",13.500000,52.500000,-90.000000,top
"D8","SS14","D_SMA",18.000000,52.500000,-90.000000,top
"D10","SS14","D_SMA",19.500000,63.000000,0.000000,top
"L1","BLM18PG331SN1D","L_0603_1608Metric",12.500000,60.000000,0.000000,top
"L2","BLM18PG331SN1D","L_0603_1608Metric",55.500000,66.000000,180.000000,top
"L4","22uF","L_SMD_6x6x4.5mm",31.000000,64.000000,90.000000,top
"LD1","LED","LED_0805_2012Metric",37.000000,43.500000,180.000000,top
"LD2","LED","LED_0805_2012Metric",37.000000,38.000000,180.000000,top
"LD3","LED","LED_0805_2012Metric",37.000000,32.500000,180.000000,top
"LD4","LED","LED_0805_2012Metric",37.000000,27.000000,180.000000,top
"LD5","LED","LED_0805_2012Metric",37.000000,21.500000,180.000000,top
"LD6","LED","LED_0805_2012Metric",37.000000,16.000000,180.000000,top
"LD7","LED","LED_0805_2012Metric",37.000000,10.500000,180.000000,top
"LD8","LED","LED_0805_2012Metric",37.000000,5.000000,180.000000,top
"LD9","LED","LED_0805_2012Metric",82.500000,30.000000,0.000000,top
"LD10","LED","LED_0805_2012Metric",82.500000,22.500000,0.000000,top
"LD11","LED","LED_0805_2012Metric",82.500000,15.000000,0.000000,top
"LD12","LED","LED_0805_2012Metric",82.500000,7.500000,0.000000,top
"LD13","LED","LED_0805_2012Metric",75.000000,27.500000,180.000000,top
"Q1","SMMBT5551LT1G","TSOT-23",27.000000,43.500000,0.000000,top
"Q2","SMMBT5551LT1G","TSOT-23",27.000000,38.000000,0.000000,top
"Q3","SMMBT5551LT1G","TSOT-23",27.000000,32.500000,0.000000,top
"Q4","SMMBT5551LT1G","TSOT-23",27.000000,27.000000,0.000000,top
"Q5","SMMBT5551LT1G","TSOT-23",27.000000,21.500000,0.000000,top
"Q6","SMMBT5551LT1G","TSOT-23",27.000000,16.000000,0.000000,top
"Q7","SMMBT5551LT1G","TSOT-23",27.000000,10.500000,0.000000,top
"Q8","SMMBT5551LT1G","TSOT-23",27.000000,5.000000,0.000000,top
"Q9","SMMBT5551LT1G","TSOT-23",74.000000,21.000000,90.000000,top
"Q10","SMMBT5551LT1G","TSOT-23",74.000000,16.000000,90.000000,top
"Q11","SMMBT5551LT1G","TSOT-23",74.000000,11.000000,90.000000,top
"Q12","SMMBT5551LT1G","TSOT-23",74.000000,6.000000,90.000000,top
"Q13","SMMBT5551LT1G","TSOT-23",59.000000,61.500000,90.000000,top
"Q14","SMMBT5551LT1G","TSOT-23",77.000000,64.000000,90.000000,top
"R1","1K","R_0805",33.500000,43.500000,90.000000,top
"R2","10K","R_0805",31.000000,43.500000,90.000000,top
"R3","1K","R_0805",33.500000,38.000000,90.000000,top
"R4","10K","R_0805",31.000000,38.000000,90.000000,top
"R5","1K","R_0805",33.500000,32.500000,90.000000,top
"R6","10K","R_0805",31.000000,32.500000,90.000000,top
"R7","1K","R_0805",33.500000,27.000000,90.000000,top
"R8","10K","R_0805",31.000000,27.000000,90.000000,top
"R9","4K7","R_0805",23.000000,43.500000,90.000000,top
"R10","4K7","R_0805",23.000000,38.000000,90.000000,top
"R11","4K7","R_0805",23.000000,32.500000,90.000000,top
"R12","4K7","R_0805",23.000000,27.000000,90.000000,top
"R13","10K","R_0805",20.000000,43.500000,90.000000,top
"R14","10K","R_0805",20.000000,38.000000,90.000000,top
"R15","10K","R_0805",20.000000,32.500000,90.000000,top
"R16","10K","R_0805",20.000000,27.000000,90.000000,top
"R17","1K","R_0805",33.500000,21.500000,90.000000,top
"R18","10K","R_0805",31.000000,21.500000,90.000000,top
"R19","1K","R_0805",33.500000,16.000000,90.000000,top
"R20","10K","R_0805",31.000000,16.000000,90.000000,top
"R21","1K","R_0805",33.500000,10.500000,90.000000,top
"R22","10K","R_0805",31.000000,10.500000,90.000000,top
"R23","1K","R_0805",33.500000,5.000000,90.000000,top
"R24","10K","R_0805",31.000000,5.000000,90.000000,top
"R25","4K7","R_0805",23.000000,21.500000,90.000000,top
"R26","4K7","R_0805",23.000000,16.000000,90.000000,top
"R27","4K7","R_0805",23.000000,10.500000,90.000000,top
"R28","4K7","R_0805",23.000000,5.000000,90.000000,top
"R29","10K","R_0805",20.000000,21.500000,90.000000,top
"R30","10K","R_0805",20.000000,16.000000,90.000000,top
"R31","10K","R_0805",20.000000,10.500000,90.000000,top
"R32","10K","R_0805",20.000000,5.000000,90.000000,top
"R33","4K7","R_0805",82.500000,27.000000,180.000000,top
"R34","4K7","R_0805",82.500000,19.500000,180.000000,top
"R35","0R","R_0805",46.000000,32.500000,0.000000,top
"R36","3K24","R_0805",24.000000,73.000000,180.000000,top
"R37","1K","R_0805",69.500000,21.000000,-90.000000,top
"R38","1K","R_0805",69.500000,16.000000,-90.000000,top
"R39","10K","R_0805",65.500000,21.000000,-90.000000,top
"R40","10K","R_0805",65.500000,16.000000,-90.000000,top
"R41","4K7","R_0805",82.500000,12.250000,180.000000,top
"R42","4K7","R_0805",82.500000,4.500000,180.000000,top
"R45","1K","R_0805",69.500000,11.000000,-90.000000,top
"R46","1K","R_0805",69.500000,6.000000,-90.000000,top
"R47","10K","R_0805",65.500000,11.000000,-90.000000,top
"R48","10K","R_0805",65.500000,6.000000,-90.000000,top
"R49","1K","R_0805",75.000000,25.000000,180.000000,top
"R50","10K","R_0805",53.500000,7.500000,0.000000,top
"R51","10K","R_0805",53.500000,15.000000,0.000000,top
"R52","0R","R_0805",55.500000,61.500000,-90.000000,top
"R53","10K","R_0805",63.500000,39.750000,90.000000,top
"R55","10K","R_0805",47.500000,40.500000,-90.000000,top
"R56","10K","R_0805",78.500000,69.500000,180.000000,top
"R57","10K","R_0805",88.000000,34.000000,180.000000,top
"R58","10K","R_0805",88.000000,38.000000,180.000000,top
"R59","120R","R_0805",88.000000,36.000000,0.000000,top
"R60","1K","R_0805",74.500000,69.500000,180.000000,top
"R61","10K","R_0805",88.000000,51.000000,180.000000,top
"R62","10K","R_0805",59.000000,65.500000,0.000000,top
"R63","1K","R_0805",59.000000,57.000000,180.000000,top
"R64","10K","R_0805",59.000000,54.500000,180.000000,top
"R65","120R","R_0805",88.000000,59.500000,0.000000,top
"R66","120R","R_0805",88.000000,65.500000,0.000000,top
"R67","10K","R_0805",88.000000,62.000000,180.000000,top
"R68","10K","R_0805",88.000000,67.500000,180.000000,top
"R69","120R","R_0805",53.500000,12.500000,180.000000,top
"R70","120R","R_0805",53.500000,10.000000,180.000000,top
"R71","10K","R_0805",28.000000,70.500000,90.000000,top
"R72","10K","R_0805",73.000000,64.500000,0.000000,top
"R73","120R","R_0805",88.000000,56.500000,0.000000,top
"R74","1K","R_0805",76.000000,58.000000,90.000000,top
"R75","10K","R_0805",79.500000,58.000000,90.000000,top
"R79","100K","R_0805",47.000000,58.000000,0.000000,top
"R80","100K","R_0805",47.000000,60.500000,0.000000,top
"R82","0R","R_0805",31.500000,55.000000,0.000000,top
"R83","100K","R_0805",47.000000,47.000000,0.000000,top
"R84","100K","R_0805",47.000000,49.500000,0.000000,top
"R85","10R","R_0805",44.000000,40.500000,-90.000000,top
"R86","120R","R_0805",88.000000,40.000000,0.000000,top
"R87","120R","R_0805",88.000000,49.000000,0.000000,top
"U1","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",21.900000,68.500000,180.000000,top
"U2","MIC5504-3.3YM5","SOT-23-5",28.000000,50.000000,0.000000,top
"U3","STM32L151C8T6A","LQFP-48_7x7mm_P0.5mm",58.000000,30.500000,-45.000000,top
"U5","TPS2553DBVR","SOT-23-6",42.500000,59.000000,0.000000,top
"U7","TPS2553DBVR","SOT-23-6",42.000000,49.500000,0.000000,top
